name	first_year	episode_name	season	episode_number	star_1	star_2	star_3	star_4	star_5	star_6	star_7	star_8	star_9	star_10
Adventure Time with Finn _ Jake 2010	2010	The Great Bird Man	5	13	9	0	0	0	0	3	9	16	9	16
Adventure Time with Finn _ Jake 2010	2010	The Hard Easy	4	23	9	3	0	3	3	3	9	9	9	15
Adventure Time with Finn _ Jake 2010	2010	The Jiggler	1	6	5	5	0	5	5	5	26	37	16	16
Adventure Time with Finn _ Jake 2010	2010	The Lich	4	26	17	0	0	0	0	0	5	17	17	63
Adventure Time with Finn _ Jake 2010	2010	The Limit	2	22	10	0	0	3	0	3	10	17	17	24
Adventure Time with Finn _ Jake 2010	2010	The Monster	3	6	11	0	0	3	3	3	11	26	3	11
Adventure Time with Finn _ Jake 2010	2010	The New Frontier	3	18	10	0	0	3	3	3	17	17	3	10
Adventure Time with Finn _ Jake 2010	2010	The Other Tarts	2	9	5	0	5	0	5	5	5	27	27	27
Adventure Time with Finn _ Jake 2010	2010	The Pit	5	41	11	0	0	2	2	2	6	6	6	11
Adventure Time with Finn _ Jake 2010	2010	The Pods	2	13	12	0	4	0	4	4	12	20	12	12
Adventure Time with Finn _ Jake 2010	2010	The Real You	2	15	10	0	3	3	0	3	10	17	17	17
Adventure Time with Finn _ Jake 2010	2010	The Silent King	2	14	4	4	4	0	4	4	14	23	4	23
Adventure Time with Finn _ Jake 2010	2010	The Suitor	5	21	9	0	3	0	3	3	3	16	9	16
Adventure Time with Finn _ Jake 2010	2010	The Vault	5	34	10	0	0	0	0	3	3	10	10	32
Adventure Time with Finn _ Jake 2010	2010	The Witch_s Garden	1	14	6	6	0	0	6	6	18	31	18	31
Adventure Time with Finn _ Jake 2010	2010	Time Sandwich	5	33	8	2	0	0	0	2	2	13	8	13
Adventure Time with Finn _ Jake 2010	2010	To Cut a Woman_s Hair	2	10	5	0	5	0	0	5	16	26	16	16
Adventure Time with Finn _ Jake 2010	2010	Too Old	5	31	11	0	2	2	0	2	6	11	2	6
Adventure Time with Finn _ Jake 2010	2010	Too Young	3	5	15	0	0	5	0	5	15	15	15	36
Adventure Time with Finn _ Jake 2010	2010	Tree Trunks	1	4	9	9	0	9	9	9	27	45	9	45
Adventure Time with Finn _ Jake 2010	2010	Trouble in Lumpy Space	1	2	8	8	8	8	8	24	24	40	24	40
Adventure Time with Finn _ Jake 2010	2010	Up a Tree	5	4	12	0	0	4	4	4	12	20	12	20
Adventure Time with Finn _ Jake 2010	2010	Vault of Bones	5	12	12	0	0	0	4	4	12	12	12	28
Adventure Time with Finn _ Jake 2010	2010	Video Makers	2	23	10	0	0	3	3	3	10	23	10	16
Adventure Time with Finn _ Jake 2010	2010	We Fixed a Truck	5	39	7	0	0	2	2	2	7	7	2	16
Adventure Time with Finn _ Jake 2010	2010	Web Weirdos	4	3	11	0	3	0	3	11	19	11	3	11
Adventure Time with Finn _ Jake 2010	2010	What Have You Done_	1	24	4	0	4	0	4	4	23	33	4	23
Adventure Time with Finn _ Jake 2010	2010	What Is Life_	1	15	5	0	5	0	5	5	16	28	16	28
Adventure Time with Finn _ Jake 2010	2010	What Was Missing	3	10	6	0	6	0	6	6	6	20	20	60
Adventure Time with Finn _ Jake 2010	2010	When Wedding Bells Thaw	1	17	12	4	0	4	4	12	21	21	4	12
Adventure Time with Finn _ Jake 2010	2010	Who Would Win	4	21	7	0	0	0	2	7	7	12	7	12
Adventure Time with Finn _ Jake 2010	2010	Wizard	1	11	15	5	0	0	0	5	15	26	26	26
Adventure Time with Finn _ Jake 2010	2010	Wizard Battle	3	8	11	0	0	0	3	3	18	18	3	11
Adventure Time with Finn _ Jake 2010	2010	Wizards Only_ Fools	5	26	8	0	0	0	2	2	8	13	8	13
Adventure Time with Finn _ Jake 2010	2010	You Made Me	4	20	11	0	0	0	3	3	11	18	3	18
Aftermath 2010	2010	Population Overload	1	2	0	0	0	1	0	1	1	2	0	1
Aliens Inside 2010	2010	Alien Rebellion	1	13	0	0	0	1	0	0	0	0	0	9
Aliens Inside 2010	2010	At a Red Light	1	6	1	0	0	0	0	1	0	0	1	5
Aliens Inside 2010	2010	At the Book Store	1	7	1	0	0	0	0	1	0	1	1	3
Aliens Inside 2010	2010	At the Cinema	1	11	1	0	0	0	0	0	0	1	1	4
Aliens Inside 2010	2010	At the Grocery Store	1	1	1	0	1	0	0	0	0	0	2	4
Aliens Inside 2010	2010	Can I Have a Coffee_	1	3	0	1	0	0	1	0	0	0	2	4
Aliens Inside 2010	2010	In the Barber Shop	1	5	0	0	0	0	1	0	1	1	0	3
Aliens Inside 2010	2010	In the Elevator	1	2	1	1	0	0	0	0	1	0	1	4
Aliens Inside 2010	2010	In the Park	1	4	1	0	0	0	0	1	1	0	0	4
Aliens Inside 2010	2010	In the Photo Booth	1	8	1	0	0	0	0	0	1	0	0	4
Aliens Inside 2010	2010	The Alien and the Mummy	1	12	1	0	0	0	1	0	1	0	2	4
Aliens Inside 2010	2010	Tram_ Part I	1	9	2	0	0	0	0	0	0	1	2	4
Aliens Inside 2010	2010	Tram_ Part II	1	10	1	0	0	0	0	0	0	1	1	5
Alpha 0_7 _ Der Feind in dir 2010	2010	Auf der Flucht	1	4	0	0	0	0	2	2	0	1	1	3
